scheme,security_model,curve_or_group,devices,repeats,mean_ms,stddev_ms
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",8,20,188.378708,5.429058
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",16,20,371.252454,9.58696
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",32,20,746.437127,8.355666
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",64,20,1517.146204,18.46163
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",128,20,3079.658517,35.69203
BMAE,80,"secp160r1 / pairing(160,512)",8,20,184.165879,2.790443
BMAE,80,"secp160r1 / pairing(160,512)",16,20,368.772511,5.94325
BMAE,80,"secp160r1 / pairing(160,512)",32,20,735.802652,9.065022
BMAE,80,"secp160r1 / pairing(160,512)",64,20,1474.282708,17.24473
BMAE,80,"secp160r1 / pairing(160,512)",128,20,2974.433398,26.661286
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",8,20,1960.039571,42.509169
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",16,20,3908.899358,50.128929
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",32,20,7842.53891,100.775904
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",64,20,15930.51581,454.638217
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",128,20,32000.67446,478.156439
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",8,20,125.212769,3.396394
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",16,20,248.526731,4.524318
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",32,20,496.66521,8.594471
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",64,20,1004.201669,18.794632
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",128,20,2027.117569,41.042579
ECroA,80,"secp160r1 / pairing(160,512)",8,20,163.40415,15.813664
ECroA,80,"secp160r1 / pairing(160,512)",16,20,223.96095,19.783592
ECroA,80,"secp160r1 / pairing(160,512)",32,20,370.45235,10.61876
ECroA,80,"secp160r1 / pairing(160,512)",64,20,640.7426,25.520852
ECroA,80,"secp160r1 / pairing(160,512)",128,20,1154.771,30.382367
Shen-V2G,80,"secp160r1 / pairing(160,512)",8,20,220.0225,17.449406
Shen-V2G,80,"secp160r1 / pairing(160,512)",16,20,398.3238,17.144216
Shen-V2G,80,"secp160r1 / pairing(160,512)",32,20,753.7044,31.598298
Shen-V2G,80,"secp160r1 / pairing(160,512)",64,20,1435.8815,37.845031
Shen-V2G,80,"secp160r1 / pairing(160,512)",128,20,2843.074,79.517104
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",8,20,412.356529,8.531521
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",16,20,807.033987,18.993146
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",32,20,1615.808869,24.207025
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",64,20,3245.657285,44.156262
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",128,20,6565.705831,99.285385
BMAE,112,"secp224r1 / pairing(224,1024)",8,20,397.86164,7.922583
BMAE,112,"secp224r1 / pairing(224,1024)",16,20,797.043879,21.982515
BMAE,112,"secp224r1 / pairing(224,1024)",32,20,1601.536042,29.007389
BMAE,112,"secp224r1 / pairing(224,1024)",64,20,3204.834425,34.248623
BMAE,112,"secp224r1 / pairing(224,1024)",128,20,6443.561419,83.889101
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",8,20,4262.020196,57.835194
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",16,20,8623.039406,117.098082
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",32,20,17290.23603,316.534092
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",64,20,34070.6729,398.850162
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",128,20,68710.16979,511.223068
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",8,20,263.09901,6.064074
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",16,20,529.446094,10.209993
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",32,20,1051.434444,13.514914
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",64,20,2135.455108,41.729275
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",128,20,4287.092727,80.47442
ECroA,112,"secp224r1 / pairing(224,1024)",8,20,333.5148,13.637322
ECroA,112,"secp224r1 / pairing(224,1024)",16,20,751.5874,273.800191
ECroA,112,"secp224r1 / pairing(224,1024)",32,20,1306.97145,23.895854
ECroA,112,"secp224r1 / pairing(224,1024)",64,20,2581.77055,51.143823
ECroA,112,"secp224r1 / pairing(224,1024)",128,20,5123.99585,150.452824
Shen-V2G,112,"secp224r1 / pairing(224,1024)",8,20,934.34795,29.841838
Shen-V2G,112,"secp224r1 / pairing(224,1024)",16,20,1865.6687,69.718693
Shen-V2G,112,"secp224r1 / pairing(224,1024)",32,20,3688.7166,76.938746
Shen-V2G,112,"secp224r1 / pairing(224,1024)",64,20,7303.94855,260.545076
Shen-V2G,112,"secp224r1 / pairing(224,1024)",128,20,14388.6174,478.616821
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",8,20,538.789281,13.403977
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",16,20,1082.082275,22.553681
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",32,20,2241.162115,36.157373
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",64,20,4481.091746,90.351822
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",128,20,9112.608129,117.90807
BMAE,128,"secp256r1 / pairing(256,1536)",8,20,551.879698,10.250151
BMAE,128,"secp256r1 / pairing(256,1536)",16,20,1139.986233,151.575607
BMAE,128,"secp256r1 / pairing(256,1536)",32,20,2177.934602,22.87569
BMAE,128,"secp256r1 / pairing(256,1536)",64,20,4374.901948,45.612711
BMAE,128,"secp256r1 / pairing(256,1536)",128,20,8845.629531,85.015096
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",8,20,5849.569854,78.618953
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",16,20,11780.48914,148.703
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",32,20,23470.00106,221.012554
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",64,20,47196.43467,483.082569
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",128,20,94308.25905,746.900919
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",8,20,362.192654,11.256718
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",16,20,723.52594,18.98504
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",32,20,1427.369581,24.310406
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",64,20,2899.274754,50.169061
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",128,20,5900.015286,108.589011
ECroA,128,"secp256r1 / pairing(256,1536)",8,20,867.628,32.177336
ECroA,128,"secp256r1 / pairing(256,1536)",16,20,1768.53185,108.078809
ECroA,128,"secp256r1 / pairing(256,1536)",32,20,3581.5512,422.606579
ECroA,128,"secp256r1 / pairing(256,1536)",64,20,6948.42965,303.208532
ECroA,128,"secp256r1 / pairing(256,1536)",128,20,13979.3249,835.823486
Shen-V2G,128,"secp256r1 / pairing(256,1536)",8,20,2650.8426,145.758588
Shen-V2G,128,"secp256r1 / pairing(256,1536)",16,20,5262.42905,270.166049
Shen-V2G,128,"secp256r1 / pairing(256,1536)",32,20,10211.8557,382.064882
Shen-V2G,128,"secp256r1 / pairing(256,1536)",64,20,20552.8864,1018.652899
Shen-V2G,128,"secp256r1 / pairing(256,1536)",128,20,40753.98195,854.2756
